name,pop,lat,lon
Syracuse ,144457,43.0481221,-76.1474244
Lakewood ,144184,39.6246085,-105.0842039
Sunnyvale ,143968,37.3688301,-122.0363496
Hollywood ,143696,34.1028268,-118.3299899
Naperville ,142994,41.7729107,-88.147867
Dayton ,141894,39.7589478,-84.1916069
Cary ,141773,35.7882973,-78.7811925
Mesquite ,141454,32.7666103,-96.599472
Savannah ,140157,32.0835407,-81.0998342
Orange ,138438,33.7500378,-117.8704931
Pasadena ,138036,34.1476452,-118.1444779
McKinney ,137960,33.1976496,-96.6154471
Fullerton ,136673,33.8708215,-117.9294165
Clarksville ,136442,38.2967791,-85.7602087
Warren ,133904,40.8442828,-90.6168408
McAllen ,133623,26.154573,-98.26072076
West Valley City ,131077,40.6916132,-112.0010501
New Haven ,130955,41.3082138,-72.9250518
Bellevue ,130267,47.6144219,-122.1923372
Sterling Heights ,129883,42.5803122,-83.0302033
Olathe ,128269,38.8843867,-94.8161127
Topeka ,128015,39.0490111,-95.6775557
Cedar Rapids ,127837,41.9758872,-91.6704053
Thousand Oaks ,127559,34.1705609,-118.8375937
Waco ,126534,31.549333,-97.1466695
Elizabeth ,126063,40.6639916,-74.2107006
Visalia ,125859,36.3302284,-119.2920585
Gainesville ,125743,29.651907,-82.3247976
Hartford ,125492,41.7634935,-72.6830523
Miramar ,125189,25.97591145,-80.33472113
Simi Valley ,125184,34.2694474,-118.781482
Stamford ,124123,41.0534302,-73.5387341
Concord ,123764,43.207106,-71.5370216
Coral Springs ,123753,26.26485615,-80.26534189
Frisco ,123605,35.2351765,-75.6284903
Charleston ,123144,32.7876012,-79.9402728
Carrollton ,122505,33.5801103,-85.0766113
Roseville ,122294,38.72338,-121.1858782
Lafayette ,122172,30.2240897,-92.0198427
Thornton ,121885,39.95782075,-104.9669887
Evansville ,120133,37.9747645,-87.5558483
Denton ,120045,33.1728435,-97.05898636
Surprise ,119195,33.6292271,-112.3680189
Allen ,118878,37.8882168,-95.3170208
Abilene ,118727,32.4464534,-99.7333478
Victorville ,118134,34.5361067,-117.2911565
Santa Clara ,118010,37.3541132,-121.9551744
Beaumont ,117833,30.0860459,-94.1018461
Springfield ,117096,39.7989763,-89.6443688
Vallejo ,116908,38.1040864,-122.2566367
Independence ,116860,37.2242358,-95.7083131
Peoria ,115279,40.6938609,-89.5891008
Ann Arbor ,115276,42.2681569,-83.7312291
Provo ,114611,40.2338438,-111.6585337
El Monte ,114354,34.0751571,-118.036849
Lansing ,114270,42.7337712,-84.5553805
Berkeley ,114048,37.8708393,-122.2728639
Norman ,113968,35.2225717,-97.4394816
Midland ,113885,43.6155825,-84.2472117
Downey ,112541,33.9400143,-118.1325688
Murfreesboro ,111704,35.9155165,-86.44469333
Costa Mesa ,111049,33.6633386,-117.903317
Inglewood ,110834,33.9616801,-118.3531311
Miami Gardens ,110414,25.94207545,-80.23975271
Waterbury ,110080,41.5581525,-73.0514966
Elgin ,109243,42.0372487,-88.2811895
Clearwater ,108387,27.9658533,-82.8001026
Wilmington ,108244,39.7459468,-75.546589
Rochester ,108171,43.1854754,-77.61068605
San Buenaventura (Ventura) ,107800,34.302548,-119.2072845
Carlsbad ,107754,33.1580933,-117.3505939
Fargo ,107714,46.8772292,-96.789821
Arvada ,107578,39.8027644,-105.0874842
Lowell ,107553,42.6334247,-71.3161718
Gresham ,107498,45.5067406,-122.4367058
Pueblo ,107341,38.2544472,-104.609141
West Covina ,107006,34.0686208,-117.9389526
West Jordan ,106575,40.6096698,-111.9391031
Fairfield ,106254,38.2493581,-122.0399663
Norwalk ,106188,41.1175966,-73.4078968
High Point ,105802,35.9556924,-80.0053176
Billings ,105534,45.7874957,-108.49607
Richmond ,105404,37.5385087,-77.43428
Murrieta ,105253,33.560832,-117.2106564
Green Bay ,104389,44.5299412,-88.0248317
Wichita Falls ,104100,33.9137085,-98.4933873
Burbank ,104003,34.1816482,-118.3258554
Round Rock ,103929,30.5725805,-97.64840733
Antioch ,103923,38.0049214,-121.805789
Everett ,103593,47.9673056,-122.2013998
Palm Bay ,103380,28.0331886,-80.6429695
Temecula ,102955,33.4946353,-117.1473661
